Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Caldo de carne, tablete;241;7.8;16.6;15.1;129;0;0;0;22180;Proibido;3
Caldo de galinha, tablete;251;6.3;20.4;10.6;16;0.7;0;0;22300;Proibido;3
Camarao, Rio Grande, grande, cozido;90.01;18.97;1;0;89.74;1.28;0;0;366.55;Liberado;0
Camarao, Rio Grande, grande, cru;47.18;9.99;0.5;0;51.12;0.67;20;0;201.13;Liberado;0
Camarao, Sete Barbas, sem cabeca, com casca, frito;231.25;18.39;15.62;2.88;959.7;2.44;0;0;99.06;Liberado;0
Cana-de-acucar;73.58;0;0.05;19.97;5.6;0;0;0;18.34;Liberado;0
Canela em po;261;3.89;3.19;79.8;0.23;38.2;26;28.5;26.3;Liberado;0
Canjica, branca, crua;357.6;7.2;0.97;78.06;1.96;0.32;23438;0;0.79;Liberado;0
Caqui, chocolate, cru;71.35;0.36;0.07;19.33;17.85;0.1;0;29.61;2.18;Liberado;0
Cara, cru;95.63;2.28;0.14;22.95;3.91;0.21;0;8.79;0;Liberado;0
Carambola, crua;45.74;0.87;0.18;11.48;4.79;0.2;49;60.87;4.09;Liberado;0
Caranguejo, cozido;82.72;18.48;0.42;0;357.15;2.86;0;0;360.11;Liberado;0
Carne de bode/caprino;143;27.1;3.03;0;17;3.73;0;0;86;Liberado;0
Carne de caprino;143;27.1;3.03;0;17;3.73;0;0;86;Liberado;0
Carne de ovelha;204;28.35;9.17;0;8;2.2;0;0;71;Liberado;0
Carne de pato;201;26.14;9.97;0;13;0.98;29;0;63;Liberado;0
Carne de sol;313;26.9;21.9;0;13;1.9;0;0;1943;Liberado;0
Carne moida;214;26.62;11.1;0;13;2.89;0;0;61;Liberado;0
Carne, avestruz, crua (media de diferentes cortes);141;30.1;2.01;0.71;5.27;12.3;0;0;101;Liberado;0
Carne, bovina, acem, moido, cru;136.56;19.42;5.95;0;2.61;1.76;2.32;0;49;Liberado;0
